state,tru_id,age_group_id,population_total,population_male,population_female,main_workers_total,main_workers_male,main_workers_female,marginal_workers_total,marginal_workers_male,marginal_workers_female,marg_3_6mo_total,marg_3_6mo_male,marg_3_6mo_female,marg_less_3mo_total,marg_less_3mo_male,marg_less_3mo_female,non_workers_total,non_workers_male,non_workers_female,seeking_work_total,seeking_work_male,seeking_work_female
9,2,13,1172430,624380,548050,246810,199893,46917,25387,13229,12158,113262,65522,47740,49660,35276,14384,786971,345736,441235,25334,12757,12577
9,2,14,84005761,43543692,40462069,28250188,23492723,4757465,3143490,1589710,1553780,12234561,7221699,5012862,7273604,5290773,1982831,40377522,11239560,29137962,5299821,2580765,2719056
9,2,15,12446468,6477635,5968833,4353829,3673740,680089,445110,242695,202415,1396176,832554,563622,543819,389353,154466,6251353,1728646,4522707,215622,78191,137431
9,3,16,44495063,23487515,21007548,11096675,9607952,1488723,373779,260900,112879,2393281,1625031,768250,1243532,933243,310289,30631328,11993632,18637696,2509707,1287318,1222389
9,3,1,4699261,2505728,2193533,64778,40111,24667,4645,2608,2037,79636,43615,36021,26234,14929,11305,4550202,2419394,2130808,50721,28308,22413
9,3,2,5095941,2716832,2379109,143533,101406,42127,15187,9340,5847,126760,73077,53683,51675,32299,19376,4810461,2533009,2277452,112765,69236,43529
9,3,3,5261296,2814155,2447141,616439,507195,109244,47049,33152,13897,283795,190487,93308,173287,125884,47403,4314013,2083321,2230692,668832,412466,256366
9,3,4,4589604,2477784,2111820,1185184,1031527,153657,55860,41288,14572,353703,252904,100799,227116,173282,53834,2994857,1152065,1842792,699853,401598,298255
9,3,5,3719100,1934915,1784185,1433004,1250062,182942,46654,34405,12249,303154,216383,86771,178653,137963,40690,1936288,434065,1502223,381880,176034,205846
9,3,6,3144283,1606340,1537943,1389400,1214887,174513,39750,27896,11854,250299,174011,76288,135630,104763,30867,1464834,189546,1275288,184846,70069,114777
9,3,7,3032521,1553023,1479498,1429662,1244123,185539,39041,26675,12366,240488,163858,76630,125751,96292,29459,1323330,118367,1204963,130561,36551,94010
9,3,8,4717666,2482423,2235243,2343065,2046127,296938,57042,38862,18180,353100,239840,113260,169176,130347,38829,1964459,157594,1806865,139501,36004,103497
9,3,9,2971878,1575153,1396725,1468272,1284129,184143,32081,21273,10808,197234,131789,65445,81192,61891,19301,1274291,137962,1136329,62895,19169,43726
9,3,10,1872719,980638,892081,645840,561805,84035,22308,15265,7043,118282,80597,37685,44843,33942,10901,1086289,322971,763318,47337,21853,25484
9,3,11,756323,397338,358985,192996,169333,23663,7857,5608,2249,38145,26405,11740,11723,8730,2993,517325,195992,321333,11686,5829,5857
9,3,12,364394,181522,182872,79008,67623,11385,3217,2294,923,18561,12246,6315,6443,4559,1884,263608,99359,164249,6500,3448,3052
9,3,13,449632,241553,208079,105494,89624,15870,3088,2234,854,30124,19819,10305,11809,8362,3447,310926,129876,181050,12330,6753,5577
9,3,14,27436348,14443793,12992555,9865026,8578050,1286976,317477,223551,93926,1981773,1369272,612501,1090805,830422,260383,15272072,4272920,10999152,2268368,1151891,1116477
9,3,15,2993436,1559498,1433938,917844,798761,119083,33382,23167,10215,174988,119248,55740,63009,47231,15778,1867222,618322,1248900,65523,31130,34393
10,1,16,104099452,54278157,49821295,21359611,17270690,4088921,2442512,1223023,1219489,10922864,6728476,4194388,6952338,4899302,2053036,69374465,29055968,40318497,4509174,2077906,2431268
10,1,1,15036277,7796359,7239918,156061,87746,68315,42458,21672,20786,150486,79271,71215,51349,28266,23083,14687272,7607670,7079602,131421,70573,60848
10,1,2,13919882,7323831,6596051,295529,194429,101100,133172,71121,62051,310803,178339,132464,148463,95175,53288,13180378,6879942,6300436,271313,158403,112910
10,1,3,9472695,5290581,4182114,1046525,820351,226174,241838,143592,98246,859390,573540,285850,616406,459325,157081,7324942,3753098,3571844,1132897,714962,417935
10,1,4,8064735,4210585,3854150,2091254,1660934,430320,293001,151650,141351,1360067,853763,506304,977491,703675,273816,4320413,1544238,2776175,1012071,559893,452178
10,1,5,7671705,3828687,3843018,2711858,2177303,534555,299621,142828,156793,1482127,906039,576088,1026660,721220,305440,3178099,602517,2575582,624084,249826,374258
